Food_ID,Food Name and Description,Scientific Name,Alternate/Common Name(s),Edible Portion,Energy (kcal),Protein (g),Fat (g),Carbs (g)
M051,"Sugar, coconut sap",N/A,Coco sugar,100%,385,1.2,0.1,94.8
M052,"Syrup, coconut sap",N/A,Coco syrup,100%,321,1.0,0.1,79.1
N001,"Bilimbi, dried",N/A,"Kamyas, tuyo",100%,401,11.4,9.0,68.5
N002,"Bouillon cube, beef",N/A,Beef cube,100%,284,10.4,21.2,13.0
N003,"Bouillon cube, chicken",N/A,Chicken cube,100%,306,15.3,22.3,11.0
N004,"Catsup, banana",N/A,N/A,100%,221,0.7,0.2,54.0
N005,"Catsup, tomato",N/A,N/A,100%,131,1.6,0.6,29.9
N006,"Clam paste, ginamos",N/A,"Bagoong tulya, ginamos",100%,69,7.5,0.4,8.9
N007,"Fish paste, anchovy",N/A,Bagoong dilis,100%,133,10.0,2.5,17.5
N008,"Fish paste, balatohan",N/A,Bagoong balatohan,-,162,8.1,3.2,25.1
N009,"Fish paste, ginamos",N/A,"Bagoong isda, ginamos",100%,110,23.4,1.8,0.0
N010,"Fish paste, siganid fry",N/A,Bagoong padas,100%,54,9.6,1.7,0.0
N011,Fish sauce,N/A,Patis,100%,49,10.6,0.3,0.9
N013,Lechon sauce,N/A,Litson sarsa,100%,118,1.2,0.3,27.6
N014,Lemon grass lvs,Cymbopogon citratus,Tanglad dahon,-,111,1.4,1.4,23.1
N015,"Lemon grass lvs, boiled",Cymbopogon citratus,"Tanglad dahon, nilaga",100%,57,0.3,0.3,13.2
N016,"Banana, flowers, dried",N/A,"Saging bulaklak, tuyo",98%,329,9.6,1.3,69.6
N017,Oyster paste,N/A,Bagoong talaba/Sise,100%,54,3.7,1.8,5.8
N018,"Safflower, flowers, dried",Carthamus tinctorius,"Kasubha bulaklak, tuyo",100%,340,16.2,4.3,59.0
N019,"Salt, coarse",N/A,"Asin, magaspang",100%,0,0.0,0.0,0.0
N020,Shrimp paste,N/A,Bagoong hipon,100%,68,12.5,1.9,0.1
N021,"Shrimp paste, alamang",N/A,"Bagoong hipon, alamang",100%,61,12.4,1.0,0.6
N022,"Shrimp paste, bastos",N/A,"Bagoong hipon, bastos",100%,57,12.0,0.8,0.4
N023,Soy sauce,N/A,Toyo,100%,75,3.5,0.1,15.0
N024,Tomato paste,N/A,N/A,100%,112,4.3,0.1,23.4
N025,Tomato sauce,N/A,N/A,100%,45,0.9,0.2,10.0
N027,"Vinegar, coconut",N/A,"Suka, niyog",100%,7,0.0,0.1,1.4
N028,"Vinegar, palm",N/A,"Suka, sasa",100%,11,0.2,0.0,2.6
N029,"Vinegar, pineapple",N/A,"Suka, pinya",100%,7,0.1,0.1,1.3
N030,Worcestershire sauce,N/A,N/A,100%,31,0.7,0.3,6.3
N031,"Shrimp paste, sauteed",N/A,"Bagoong alamang, ginisa",100%,401,10.2,32.1,17.7
P001,"Beer, lager type",N/A,Serbesa,100%,16,0.3,0.0,3.6
P002,"Palm sap, fermented",N/A,Tuba,100%,35,0.2,0.3,7.9
P003,Rum,N/A,N/A,100%,1,0.0,0.0,0.2
P004,"Sugarcane, fermented",N/A,Basi,100%,21,0.0,0.1,5.0
P005,"Wine, Chinese",N/A,"Alak, Tsina",100%,30,0.0,0.0,7.4
Q001,"Ceylon moss/Agar-agar, in light syrup",N/A,Gulaman palamig,100%,56,0.0,2.5,8.3
Q002,"Choc-flvr drink, prep",N/A,N/A,100%,80,1.5,0.3,17.7
Q003,"Choc-flvr drink, pwdr",N/A,N/A,100%,394,5.7,3.6,84.8
Q004,"Choc-flvr drink, UHT",N/A,N/A,100%,78,3.0,2.1,11.8
Q005,"Choc-flvr energy drnk, granules, fortified",N/A,N/A,100%,406,11.0,6.6,75.7
Q006,"Choc-flvr energy drnk, pwdr, fortified",N/A,N/A,100%,432,13.8,11.6,68.0
Q007,"Choc-flvr food milk, pwdr",N/A,N/A,100%,398,21.7,5.0,66.7
Q008,"Cocoa, pwdr, imported",N/A,"Kakaw, pulbos, imported",100%,474,20.0,21.1,51.0
Q009,"Cocoa, pwdr, local",N/A,"Kakaw, pulbos, lokal",100%,465,21.7,19.8,49.9
Q010,Coconut water,N/A,"Niyog, tubig",100%,22,0.0,0.2,5.1
Q011,"Coffee, creamer & sugar (3 in 1)",N/A,N/A,100%,392,3.6,0.8,92.5
Q012,"Coffee, inst, 100% pure",N/A,N/A,100%,329,21.6,0.1,60.3
Q013,"Coffee, roasted",N/A,N/A,100%,406,15.2,7.1,70.4
Q014,"Coffee, soybean, w/ seed coat",N/A,N/A,100%,442,39.0,17.1,32.9
Q015,"Coffee, soybean, w/o seed coat",N/A,N/A,100%,492,39.5,23.0,31.8
Q016,"Fruit jce drnk conc, calamansi",N/A,N/A,100%,239,0.2,0.6,58.3
Q017,"Fruit jce drnk conc, grape",N/A,N/A,100%,257,0.2,0.4,63.2
Q018,"Fruit jce drnk conc, grapefruit",N/A,N/A,100%,230,0.0,1.3,54.6
Q019,"Fruit jce drnk conc, guyabano",N/A,N/A,100%,109,0.3,0.3,26.3
Q020,"Fruit jce drnk conc, mango",N/A,N/A,100%,75,0.2,0.2,18.2
Q021,"Fruit jce drnk conc, orange",N/A,N/A,100%,244,0.0,0.7,59.5
Q022,"Fruit jce drnk, apple, ttb",N/A,N/A,100%,50,0.1,0.2,12.0
Q023,"Fruit jce drnk, citrus cooler, ttb",N/A,N/A,100%,47,0.1,0.2,11.2
Q025,"Fruit jce drnk, grape, ttpk",N/A,N/A,100%,45,0.2,0.1,10.8
Q026,"Fruit jce drnk, guava, ttpk",N/A,N/A,100%,46,0.1,0.3,10.7
Q027,"Fruit jce drnk, guyabano, btl",N/A,N/A,100%,75,0.1,1.0,16.3
Q028,"Fruit jce drnk, mango, btl",N/A,N/A,100%,57,0.2,0.2,13.7
Q029,"Fruit jce drnk, mango, polyfoil",N/A,N/A,100%,49,0.1,0.2,11.6
Q030,"Fruit jce drnk, mango, ttb",N/A,N/A,100%,49,0.1,0.2,11.8
Q031,"Fruit jce drnk, orange & pineapple, ttb",N/A,N/A,100%,47,0.1,0.2,11.2
Q032,"Fruit jce drnk, orange, btl",N/A,N/A,100%,43,0.2,0.2,10.1
Q033,"Fruit jce drnk, orange, polyfoil",N/A,N/A,100%,49,0.1,0.2,11.8
Q034,"Fruit jce drnk, orange, ttb",N/A,N/A,100%,46,0.1,0.2,10.9
Q035,"Fruit jce drnk, pineapple & lychee, ttb",N/A,N/A,100%,51,0.2,0.5,11.3
Q036,"Fruit jce drnk, pineapple & orange, cnd",N/A,N/A,100%,48,0.1,0.1,11.6
Q037,"Fruit jce drnk, pineapple, ttb",N/A,N/A,100%,46,0.2,0.3,10.6
Q038,"Fruit jce drnk, strawberry, polyfoil",N/A,N/A,100%,50,0.0,0.2,12.0
Q039,"Fruit jce drnk, sugarcane, ttb",N/A,N/A,100%,51,0.2,0.1,12.2
Q040,"Fruit-flvr drnk conc, orange",N/A,N/A,100%,237,0.2,0.5,58.0
Q041,"Fruit-flvr drnk conc, strawberry",N/A,N/A,100%,272,0.1,0.7,66.4
Q042,"Fruit-flvr drnk, pwdr, orange",N/A,N/A,100%,407,0.0,2.2,96.8
Q043,"Juice, apple, cnd",N/A,N/A,100%,65,0.1,0.2,15.7
Q044,"Juice, calamansi (nectar)",N/A,N/A,100%,150,0.1,0.4,36.4
Q045,"Juice, mango",N/A,N/A,100%,56,0.4,0.7,12.1
Q046,"Juice, orange, unsweetn, cnd",N/A,N/A,100%,46,0.7,0.3,10.2
Q047,"Juice, pineapple & grapefruit, cnd",N/A,N/A,100%,63,1.2,0.5,13.4
Q048,"Juice, pineapple, cnd",N/A,N/A,100%,62,0.0,0.1,15.3
Q049,"Juice, sugarcane",N/A,"Katas, tubo",100%,50,0.1,0.2,11.9
Q050,"Juice, tomato, cnd",N/A,N/A,100%,25,0.8,0.2,4.9
Q051,"Lemon tea drink, ttb",N/A,N/A,100%,51,0.0,0.3,12.0
Q052,Sago in light syrup,N/A,Sago palamig,100%,73,0.0,1.2,15.5
Q053,"Softdrink, cola",N/A,N/A,100%,41,0.0,0.1,9.9
Q054,"Softdrink, orange flvr",N/A,N/A,100%,46,0.0,0.0,11.6
Q055,"Soy drink, pwdr, plain",N/A,N/A,100%,449,21.8,13.7,59.6
Q056,"Soy drnk, pwdr, corn flvr",N/A,N/A,100%,448,19.4,13.6,62.0
Q057,"Soy drnk, pwdr, pandan flvr",N/A,N/A,100%,414,18.3,6.5,70.6
Q058,"Soybean milk drink, choc-flvr",N/A,N/A,100%,76,2.2,0.3,16.1
Q059,Soybean milk drnk,N/A,N/A,100%,51,2.6,0.8,8.3
Q060,"Tea lvs, dried",N/A,"Tsaa dahon, tuyo",-,357,21.7,1.0,65.3
Q061,Young coconut (shredded) drnk,N/A,Buko palamig,100%,39,0.2,0.2,9.0
R001,Cheese pimiento sandwich,N/A,N/A,100%,268,9.6,8.0,39.3
R002,Cheese sandwich,N/A,N/A,100%,302,11.2,6.2,50.3
R003,Cheeseburger sandwich,N/A,N/A,100%,250,11.2,9.5,30.0
R004,"Steamed bun, mung bean filling",N/A,"Siopao, munggo",100%,279,6.7,2.9,56.4
R005,"Steamed bun, pork filling",N/A,"Siopao, baboy",100%,294,9.2,11.2,39.0
R006,Glutinous rice w/ mung bean & cocomilk,N/A,Ginataang munggo,100%,130,1.8,3.0,24.0
R007,Hamburger sandwich w/ coleslaw,N/A,N/A,100%,246,12.1,8.4,30.5
R008,"Hamburger sandwich, reg",N/A,N/A,100%,265,14.0,9.9,30.1
R009,Meat pie,N/A,Empanada,100%,435,11.9,24.8,41.1
R010,Meat roll,N/A,Mechado roll,100%,313,10.4,10.4,44.4
R011,Rice gruel w/ chicken,N/A,Arroz caldo,100%,63,2.0,0.4,12.8
R012,Rice gruel w/ choc & milk,N/A,"Champorado, may gatas",100%,97,1.7,0.2,22.0
R013,Rice gruel w/ tripe,N/A,"Lugaw, may goto",100%,53,2.0,1.3,8.3
R014,"Spaghetti, meat balls & tomato sce, cnd",N/A,N/A,100%,83,4.8,1.0,13.8
R015,"Spaghetti, Vienna sausage & tomato sce, cnd",N/A,N/A,100%,86,2.9,1.7,14.8
R016,Buko pie,N/A,N/A,100%,266,4.4,7.2,45.9
R017,Egg pie,N/A,N/A,100%,228,9.6,3.5,40.0
R018,"Halu-halo, cnd",N/A,N/A,100%,242,2.3,0.3,57.4
R019,"Halu-halo, w/ ice",N/A,N/A,100%,82,1.0,0.3,18.7
R020,Pineapple pie,N/A,N/A,100%,279,1.1,0.3,67.9
R021,Pizza pie,N/A,N/A,100%,271,10.3,5.8,44.4
R022,"Milk fish, w/ black beans, cnd",N/A,"Bangus may tawsi, de lata",94%,243,18.6,18.7,0.0
R023,"Spring roll, crab, unckd",N/A,"Lumpia, alimango, hindi luto",100%,207,5.8,2.6,40.1
R024,"Spring roll, fish, unckd",N/A,"Lumpia, isda, hindi luto",100%,185,5.9,0.2,40.0
R025,"Spring roll, shrimp, unckd",N/A,"Lumpia, hipon, hindi luto",100%,200,6.3,0.2,43.2
R026,"Beef & tomato spread, cnd",N/A,N/A,100%,193,9.8,11.7,12.1
R027,"Beef caldereta, cnd",N/A,N/A,95%,284,13.3,24.9,1.6
R028,"Beef callos, cnd",N/A,N/A,100%,144,9.6,7.3,9.9
R029,"Beef curry, cnd",N/A,N/A,100%,165,9.5,11.2,6.6
R030,"Beef hamburger w/ tomato sce, cnd",N/A,N/A,100%,145,9.4,4.6,16.5
R031,"Beef kare-kare, cnd",N/A,N/A,-,64,9.0,1.1,4.4
R032,"Beef roll, mechado, cnd",N/A,N/A,100%,140,11.6,8.7,3.8
R033,"Beef roll, morcon, cnd",N/A,N/A,100%,187,13.9,8.0,14.9
R034,"Beef steak, cnd",N/A,N/A,100%,161,9.6,11.8,4.0
R035,"Beef stew, cnd",N/A,N/A,100%,169,9.5,11.4,7.1
R036,"Beef w/ gravy, cnd",N/A,N/A,100%,101,12.1,5.8,0.0
R037,"Beef w/ mushroom sce, cnd",N/A,N/A,100%,103,13.3,3.7,4.0
R038,"Beef w/chickpeas, cnd",N/A,N/A,100%,95,6.3,3.0,10.6
R039,"Beef, chili con carne, cnd",N/A,N/A,100%,94,7.5,1.8,11.9
R040,"Chicken stew, cnd",N/A,N/A,-,72,3.6,2.7,8.3
