Food_ID,Food Name and Description,Scientific Name,Alternate/Common Name(s),Edible Portion,Energy (kcal),Protein (g),Fat (g),Carbs (g)
A001,"Corn grits, white",Zea mays,"Mais, durog, puti",100%,357,8.3,1.5,77.5
A002,"Corn grits, yellow",Zea mays,"Mais, durog, dilaw",100%,350,7.7,0.8,78.1
A003,"Corn on cob, white",Zea mays,"Mais sa busal, puti",30%,148,4.4,0.8,30.9
A004,"Corn on cob, yellow",Zea mays,"Mais sa busal, dilaw",39%,173,4.4,1.5,35.4
A005,"Corn on cob, yellow, boiled",Zea mays,"Mais sa busal, dilaw, nilaga",54%,167,3.3,1.2,35.7
A006,"Cornmeal, white",Zea mays,"Mais, giniling, puti",100%,353,7.6,0.6,79.2
A007,"Cornmeal, yellow",Zea mays,"Mais, giniling, dilaw",100%,371,8.5,3.2,77.0
A008,Job's tears grain,Coix lacryma-jobi,Adlay/Tigbe butil,100%,368,13.1,2.5,73.3
A009,"Millet, glutinous",Panicum miliaceum,N/A,100%,353,10.3,2.5,72.3
A010,Rice bran,Oryza sativa,Darak,100%,316,7.8,5.0,59.9
A011,"Rice, glutinous, parboiled, flattened",Oryza sativa,Pinipig,100%,340,4.3,1.0,78.5
A012,"Rice, milled, glutinous",Oryza sativa,"Bigas, malagkit",100%,355,6.9,0.8,80.1
A013,"Rice, milled, glutinous, milled w/ water",Oryza sativa,"Bigas, malagkit, galapong",100%,210,4.4,0.1,47.9
A014,"Rice, undermilled",Oryza sativa,Brown rice/Pinawa,100%,363,8.1,2.8,76.3
A015,"Rice, undermilled, glutinous, purple",Oryza sativa,"Bigas, malagkit, pirurutong",100%,358,8.7,2.0,76.3
A016,"Rice, undermilled, glutinous, purple, boiled",Oryza sativa,"Bigas, malagkit, pirurutong, sinaing",100%,124,2.4,0.4,27.8
A017,"Rice, undermilled, red",Oryza sativa,"Bigas, mapula",100%,358,7.5,0.9,80.0
A019,"Rice, well-milled",Oryza sativa,"Bigas, maputi",100%,356,7.4,0.5,80.4
A020,"Rice, well-milled, boiled",Oryza sativa,"Bigas, maputi, sinaing",100%,129,2.1,0.2,29.7
A021,"Rice, well-milled, fried",N/A,"Bigas, maputi, sinangag",100%,187,2.6,4.0,35.2
A022,Rice-corn mixture (1:1),N/A,Bigas-mais pinaghalo (1:1),100%,366,7.5,1.0,81.8
A023,"Rice-corn mixture (1:1), boiled",N/A,"Bigas-mais pinaghalo (1:1), sinaing",100%,96,2.2,0.3,21.0
A024,Sorghum,Sorghum bicolor,"Batad/Batag, butil",100%,382,9.5,3.9,77.1
A025,"Sorghum, boiled",Sorghum bicolor,"Batad/Batag, butil, nilaga",100%,150,3.5,1.0,31.7
A026,"Ampaw, pinipig",N/A,N/A,100%,392,3.1,1.6,91.3
A027,"Ampaw, rice",N/A,N/A,100%,385,4.5,2.1,87.1
A028,Bicho-bicho,N/A,Bitsu-bitso,100%,376,7.4,14.0,55.2
A029,"Biscuit, cocohoney",N/A,N/A,100%,453,7.0,14.7,73.2
A030,"Bread, w/ margarine & sugar filling",N/A,Spanish bread,100%,371,9.3,12.4,55.5
A031,"Bread, brown",N/A,N/A,100%,313,12.1,0.9,64.1
A032,"Bread, cheese roll",N/A,N/A,100%,342,10.1,13.5,45.1
A033,"Bread, cinnamon roll",N/A,N/A,100%,387,9.1,13.1,58.1
A034,"Bread, hotdog roll",N/A,N/A,100%,320,10.2,3.8,61.3
A035,"Bread, toasted, w/ margarine-sugar topping",N/A,Biscocho,100%,412,9.3,7.4,77.1
A036,"Bread, mung bean loaf",N/A,Munggo bread,100%,352,13.5,8.3,55.8
A037,"Bread, pan de bonete",N/A,N/A,100%,329,12.3,4.4,60.0
A038,"Bread, pan de coco",N/A,N/A,100%,349,9.2,7.6,60.9
A039,"Bread, pan de leche",N/A,N/A,100%,323,10.5,3.0,63.5
A040,"Bread, pan de limon",N/A,N/A,100%,321,10.6,3.9,60.9
A041,"Bread, pan de monay",N/A,N/A,100%,318,10.6,3.4,61.3
A042,"Bread, pan de sal",N/A,N/A,100%,330,10.1,4.2,62.9
A043,"Bread, raisin",N/A,N/A,100%,295,9.4,4.6,53.9
A044,"Bread, rye",N/A,N/A,100%,304,12.1,3.5,56.0
A045,"Bread, sweet roll",N/A,Ensaymada,100%,326,8.6,5.0,61.6
A046,"Bread, sweet roll w/ mung bean filling",N/A,"Ensaymada, may munggo",100%,307,9.6,2.1,62.5
A047,"Bread, toasted",N/A,"Toast/Tinapay, tostado",100%,349,11.2,5.3,64.2
A048,"Bread, white, loaf",N/A,American loaf/Pan Amerikano,100%,329,9.7,5.1,61.1
A049,Bunuelos,N/A,N/A,100%,497,9.5,34.8,36.4
A050,"Cake, angel food",N/A,N/A,100%,262,7.2,0.3,57.7
A051,"Cake, banana",N/A,N/A,100%,331,5.4,13.4,47.2
A052,"Cake, butter",N/A,N/A,100%,399,2.8,20.4,51.0
A053,"Cake, cheese cupcake",N/A,N/A,100%,410,5.6,16.4,60.0
A054,"Cake, chiffon",N/A,N/A,100%,332,7.2,11.6,49.8
A055,"Cake, chocolate",N/A,N/A,100%,373,5.6,12.6,59.3
A056,"Cake, cream-filled roll",N/A,N/A,100%,366,9.2,16.3,45.6
A057,"Cake, fruit",N/A,N/A,100%,365,5.0,14.6,53.4
A058,"Cake, jelly roll",N/A,Pianono,100%,326,5.3,2.8,69.9
A059,"Cake, kababayan",N/A,N/A,100%,361,6.3,9.9,61.6
A060,"Cake, mamon",N/A,N/A,100%,368,5.4,10.7,62.6
A061,"Cake, mamon, toasted",N/A,N/A,100%,416,10.4,6.7,78.5
A062,"Cake, marshmallow roll",N/A,N/A,100%,338,6.5,5.1,66.4
A063,"Cake, mocha roll",N/A,N/A,100%,353,6.7,9.0,61.2
A064,"Cake, pineapple roll",N/A,N/A,100%,255,3.5,2.5,54.5
A065,"Cake, sponge",N/A,N/A,100%,306,8.2,5.3,56.3
A066,"Chips, cheese flvr",N/A,N/A,100%,489,7.2,24.1,60.7
A067,"Chips, corn, bbq flvr",N/A,N/A,100%,535,6.5,30.7,58.1
A068,"Chips, corn, nacho cheese flvr",N/A,N/A,100%,528,7.5,30.0,57.1
A069,"Chips, corn, natural flvr",N/A,N/A,100%,527,5.9,29.1,60.3
A070,"Chips, corn-potato based, cheese flvr",N/A,N/A,100%,540,3.1,33.4,56.8
A071,"Chips, corn, taco & bbq flvr",N/A,N/A,100%,527,4.2,29.0,62.4
A072,"Chips, corn, taco flvr",N/A,N/A,100%,515,6.8,27.4,60.2
A073,"Chips, fish crackers",N/A,N/A,100%,456,5.0,16.6,71.7
A074,"Chips, fish kroepeck",N/A,N/A,100%,502,4.0,27.0,60.8
A075,"Chips, prawn crackers",N/A,N/A,100%,442,6.8,13.1,74.2
A076,"Chips, prawn crackers, flvrd",N/A,N/A,100%,543,3.9,33.0,57.7
A077,"Chips, shrimp crackers",N/A,N/A,100%,462,6.0,18.4,68.1
A078,"Chips, shrimp kroepeck",N/A,N/A,100%,493,7.3,24.4,61.1
A079,"Chips, squid crackers",N/A,N/A,100%,434,7.4,12.4,73.1
A080,"Chips, sticks, onion flvr",N/A,N/A,100%,514,5.4,27.2,62.0
A081,"Chips, tortilla, bbq flvr",N/A,N/A,100%,489,7.2,23.3,62.7
A082,"Chips, tortilla, nacho cheese flvr",N/A,N/A,100%,496,7.4,23.2,64.4
A083,"Cookies, apas",N/A,N/A,100%,388,5.4,0.5,90.4
A084,"Cookies, arrowroot",N/A,Uraro/Araro cookies,100%,417,1.1,8.5,83.9
A085,"Cookies, assorted",N/A,N/A,100%,442,6.2,11.3,78.9
A086,"Cookies, brownies",N/A,N/A,100%,417,7.4,16.8,59.1
A087,"Cookies, butter",N/A,N/A,100%,508,8.3,24.1,64.5
A088,"Cookies, camachili",N/A,N/A,100%,443,7.8,12.2,75.6
A089,"Cookies, gem",N/A,Iced gem cookies,100%,426,11.0,9.7,73.6
A090,"Cookies, jacobina special",N/A,N/A,100%,449,7.0,13.3,75.4
A091,"Cookies, lady finger",N/A,Brohas,100%,388,8.6,6.5,73.7
A092,"Cookies, marie",N/A,N/A,100%,421,8.1,8.9,77.1
A093,"Cookies, ogoy-ogoy",N/A,N/A,100%,441,8.3,11.8,75.3
A094,"Cookies, otap",N/A,N/A,100%,462,10.1,14.3,73.3
A095,"Cookies, pasencia",N/A,Pacencia/Paciencia,100%,397,6.9,3.3,84.9
A096,"Cookies, pili nut",N/A,N/A,100%,532,6.6,28.3,62.6
A097,"Cookies, pilipit",N/A,N/A,100%,470,6.7,17.0,72.6
A098,"Cookies, polvoron",N/A,N/A,100%,478,5.2,19.2,71.0
A099,"Cookies, sandwich type, choc-filled",N/A,"Biskwit, may palaman na tsokolate",100%,515,5.7,24.9,67.1
A100,"Cookies, sandwich type, cream-filled",N/A,N/A,100%,472,5.9,18.0,71.7
A101,"Cookies, vanilla wafer, choc-coated",N/A,N/A,100%,510,5.4,24.2,67.7
A102,"Cookies, wafer",N/A,N/A,100%,505,4.6,22.9,70.0
A103,"Corn flakes, enr",N/A,N/A,100%,387,8.2,0.6,87.2
A104,Corn pudding,N/A,Maja blanca,100%,149,1.3,1.1,33.4
A105,"Corn pudding, w/ grtd coconut topping",N/A,"Maja blanca, may niyog",100%,187,1.0,1.4,42.6
A106,"Corn pudding, maja, yellow",N/A,"Maja, mais",100%,127,1.1,1.3,27.6
A107,"Corn pudding, maja, yellow w/ grtd coconut topping",N/A,"Maja, mais, may niyog",100%,151,1.8,1.3,32.9
A108,"Corn, fried, seasoned",N/A,Kornik,100%,483,8.5,21.8,63.2
A109,"Corn, whole kernel, cnd",N/A,"Mais butil, de lata",85%,70,1.3,0.4,15.4
A110,Cornstarch,N/A,N/A,100%,370,0.3,0.3,91.5
A111,"Cracker, egg",N/A,Galyetas de patatas,100%,422,15.0,8.1,72.3
A112,"Cracker, graham, honey-flvr",N/A,N/A,100%,423,8.0,8.1,79.5
A113,"Cracker, plain",N/A,N/A,100%,482,7.5,19.7,68.7
A114,"Cracker, salted",N/A,N/A,100%,480,9.6,19.9,65.5
A115,"Cracker, salted, round",N/A,N/A,100%,505,7.2,24.7,63.4
A116,Cream puff,N/A,N/A,100%,293,5.4,7.5,50.9
A117,"Curls, bbq flvr",N/A,N/A,100%,455,7.8,15.5,71.1
A119,"Curls, cheese flvr",N/A,N/A,100%,447,7.6,15.4,69.5
A121,"Curls, prawn flvr",N/A,N/A,100%,483,7.2,20.2,68.0
A122,"Curls, shrimp flvr",N/A,N/A,100%,419,6.6,9.0,77.9
A124,"Doughnut, fried, w/ sugar",N/A,"Donut, prito, may asukal",100%,431,7.5,22.7,49.2
A125,Gurgurya,N/A,N/A,100%,515,6.7,26.5,62.4
A126,Hominy,N/A,Binatog,100%,126,3.0,1.4,25.4
A127,Hopyang baboy,N/A,N/A,100%,414,5.0,13.1,69.1
A128,Hopyang Hapon,N/A,N/A,100%,352,8.7,5.7,66.4
A129,Hopyang munggo,N/A,N/A,100%,383,6.5,12.0,62.3
A130,Karyoka,N/A,Carioca,100%,359,4.2,12.1,58.2
A131,"Lohuwa, peanut",N/A,N/A,100%,500,16.9,25.6,50.6
A132,"Lohuwa, rice",N/A,N/A,100%,415,3.4,8.4,81.4
A133,"Lohuwa, sesame seed",N/A,N/A,100%,473,10.7,19.1,64.5
A134,"Noodles, mung bean starch",N/A,Sotanghon,100%,345,0.2,0.2,85.5
A135,"Noodles, mung bean starch, boiled",N/A,"Sotanghon, nilaga",100%,78,0.0,0.1,19.3
A136,"Noodles, rice, fideos",N/A,Fideos,100%,357,9.6,0.4,78.7
A137,"Noodles, rice",N/A,Bihon,100%,353,2.7,0.5,84.5
A138,"Noodles, rice, boiled",N/A,"Bihon, nilaga",100%,115,0.5,0.6,26.9
A140,"Noodles, wheat, canton, dry",N/A,Canton,100%,487,12.8,23.2,56.8
A141,"Noodles, wheat, mami, fresh",N/A,"Mami, sariwa",100%,73,6.8,0.2,10.9
A142,"Noodles, wheat, inst, w/ flvr",N/A,"Mami, inst, may pampalasa",100%,433,10.4,18.1,57.1
A143,"Noodles, wheat, inst, w/ flvr, fortified",N/A,"Mami, inst, may pampalasa,fortified",100%,465,9.2,22.3,56.8
A144,"Noodles, wheat, thin",N/A,Misua/Miswa,100%,344,12.2,0.3,73.0
A145,"Noodles, wheat, thin, boiled",N/A,"Misua/Miswa, nilaga",100%,100,0.9,0.1,23.8
A146,"Noodles, wheat, miki, dry",N/A,"Miki, tuyo",100%,472,12.4,22.4,55.3
A147,"Noodles, wheat, miki, dry, boiled",N/A,"Miki, tuyo, nilaga",100%,110,1.7,2.9,19.2
A148,"Oatmeal, instant",N/A,N/A,100%,394,10.0,4.7,77.9
A149,"Oats, quick-cooking",N/A,N/A,100%,423,11.4,9.1,73.8
A150,"Oats, quick-cooking, ckd",N/A,N/A,100%,60,1.6,1.1,11.0
A151,Pancake,N/A,Hotcake,100%,269,8.4,7.6,41.8
A152,"Pasta, macaroni",N/A,N/A,100%,353,14.3,0.2,73.5
A153,"Pasta, spaghetti",N/A,N/A,100%,361,12.4,1.1,75.4
A154,"Pasta, spaghetti, boiled",N/A,N/A,100%,156,5.5,0.1,33.3
A155,"Popcorn and peanuts, sweetn",N/A,N/A,100%,447,5.1,12.8,77.8
A156,"Popcorn, salted",N/A,N/A,100%,471,6.7,18.6,69.2
A157,"Popcorn, sweetn",N/A,N/A,100%,443,4.0,11.0,81.9
A158,"Pretzel, choc-coated",N/A,N/A,100%,475,8.1,18.6,68.8
A159,"Pretzel, sweetn",N/A,N/A,100%,442,8.5,11.1,76.9
A160,"Pudding, pineapple",N/A,N/A,100%,268,4.7,1.7,58.5
A161,"Pudding, raisin",N/A,N/A,100%,221,8.1,2.9,40.5
A162,"Pudding, vanilla",N/A,N/A,100%,286,6.2,1.5,61.8
A163,"Puffs, bbq flvr",N/A,N/A,100%,445,7.5,14.6,70.9
A164,"Puffs, cheese flvr",N/A,N/A,100%,503,6.0,26.5,60.0
A165,"Puffs, chicken flvr",N/A,N/A,100%,449,6.8,13.4,75.2
A166,"Puffs, spiced",N/A,N/A,100%,418,7.4,8.9,77.0
A167,"Rice cake (glutinous), bibingka",N/A,"Bibingka, malagkit",100%,256,2.8,1.0,59.0
A168,"Rice cake (glutinous), biko",N/A,Biko/Sinukmani,100%,252,2.2,0.9,58.7
A169,"Rice cake (glutinous), biko, w/ grtd coconut topping",N/A,"Biko/Sinukmani, may niyog",100%,246,3.3,1.6,54.7
A170,"Rice cake (glutinous), biko, w/ purple rice",N/A,"Biko, may pirurutong",100%,227,2.6,0.4,53.2
A171,"Rice cake (glutinous), Chinese, tikoy",N/A,Tikoy,100%,250,2.5,0.3,59.4
A172,"Rice cake (glutinous), Chinese, tikoy, w/ peanut",N/A,"Tikoy, may mani",100%,247,6.4,1.8,51.4
A173,"Rice cake, bibingka",N/A,Bibingkang galapong,100%,234,3.6,0.9,52.9
A174,"Rice cake, bibingka, w/ cheese & coconut topping",N/A,"Bibingkang galapong, may keso at niyog",100%,223,2.8,2.6,47.2
A175,"Rice cake, puto bumbong, purple",N/A,Puto bumbong,100%,252,3.5,1.3,56.5
A176,"Rice cake, puto, brown",N/A,"Puto, brown",100%,206,2.0,0.1,49.3
A177,"Rice cake, puto, white",N/A,Puto puti,100%,214,2.8,0.3,49.9
A178,"Rice cake, puto, white, w/ grtd coconut topping",N/A,"Puto puti, may niyog",100%,209,2.7,1.1,47.1
A179,"Rice cake, cuchinta",N/A,Cuchinta/Kutsinta,100%,166,1.4,0.8,38.4
A180,"Rice cake, cuchinta, w/ grtd coconut topping",N/A,"Cuchinta/Kutsinta, may niyog",100%,165,1.6,3.2,32.4
A181,Rice flour,N/A,"Arina, bigas",100%,358,7.6,0.3,81.3
A182,"Rice flour prep, tamales",N/A,Tamales,100%,101,1.3,0.9,21.8
A183,"Rice gruel, thin",N/A,"Lugaw, malabnaw",100%,71,1.4,1.1,13.9
A184,"Rice prep (glutinous), butse, w/ mung bean filling",N/A,"Butse/Buchi, munggo",100%,329,6.4,12.0,48.9
A185,"Rice prep (glutinous), butse, w/ sweet potato filling",N/A,"Butse/Buchi, kamote",100%,310,5.6,8.2,53.5
A186,"Rice prep (glutinous), kalamay, w/ coconut curd topping",N/A,"Kalamay, may latik",100%,208,2.7,0.4,48.5
A187,"Rice prep (glutinous), kalamay, w/ yam",N/A,"Kalamay, ube",100%,178,2.2,0.3,41.7
A188,"Rice prep (glutinous), palitaw",N/A,Palitaw,100%,206,2.6,2.8,42.5
A189,"Rice prep (glutinous), palitaw, w/ grtd coconut & sugar",N/A,"Palitaw, may niyog at asukal",100%,213,2.6,4.5,40.5
A190,"Rice prep (glutinous), sapin-sapin",N/A,Sapin-sapin,100%,129,1.1,0.4,30.3
A191,"Rice prep (glutinous), suman sa ibos",N/A,Suman sa ibos,100%,171,3.1,0.7,38.0
A192,"Rice prep (glutinous), suman, lye-treated",N/A,Suman sa lihiya,100%,191,3.2,0.4,43.6
A193,"Rice prep (glutinous), suman, w/ grtd coconut topping",N/A,"Suman maruwekos, may niyog",100%,211,2.6,2.4,44.8
A194,"Rice prep (glutinous), tupig",N/A,Tupig,100%,300,3.6,2.6,65.6
A195,"Rice prep, espasol",N/A,Espasol,100%,312,4.0,3.6,65.8
A196,"Rice water, ckd, thin",N/A,"Am, malabnaw",100%,17,0.1,0.2,3.8
A197,"Rice, crispies",N/A,N/A,100%,373,3.0,0.6,88.8
A198,"Rice-bread prep, toasted, puto seko",N/A,Puto seko,100%,388,6.0,1.8,87.0
A199,"Rice-bread prep, toasted, puto seko, w/ grtd coconut",N/A,"Puto seko, may niyog",100%,402,4.4,5.5,83.8
A200,"Spring roll wrapper, plain",N/A,Balat ng lumpia/Lumpia wrapper,100%,316,10.6,0.5,67.2
A201,"Wheat flour, all-purpose",N/A,"Arina, trigo, all-purpose",100%,352,12.6,0.8,73.7
A202,"Wheat flour, all-purpose, enr, bleached",N/A,"Arina trigo, all-purpose, enr, pinaputi",100%,377,11.0,3.6,75.2
A203,"Wheat flour, cake flour, enr, bleached",N/A,"Arina trigo, cake, enr, pinaputi",100%,370,8.9,1.7,79.7
A204,"Instant noodles, chicken flvr, raw",N/A,-,100%,429,10.5,17.5,57.3
A205,"Instant noodles, chicken flvr, ckd",N/A,-,100%,48,1.3,2.1,6.0
B001,Cassava,Manihot esculenta,Kamoteng kahoy/Balinghoy,74%,145,0.6,0.2,35.3
B002,"Cassava, boiled",Manihot esculenta,"Kamoteng kahoy/Balinghoy, nilaga",71%,111,0.4,0.1,27.1
B003,"Cassava, yellow",Manihot esculenta,"Kamoteng kahoy/Balinghoy, dilaw",85%,155,0.7,0.2,37.7
B004,East Indian arrowroot,Tacca leontopetaloides,Yabyaban,85%,144,3.1,0.1,32.6
B005,"East Indian arrowroot, boiled",Tacca leontopetaloides,"Yabyaban, nilaga",100%,88,3.1,0.2,18.5
B006,Palauan,Cyrtosperma merkusii,Galiang/Swamp taro,75%,153,0.5,0.2,37.3
B007,Potato,Solanum tuberosum,Patatas,85%,78,2.4,0.1,16.8
B008,"Potato, boiled",Solanum tuberosum,"Patatas, nilaga",100%,63,1.7,0.1,13.7
B009,"Sweet potato, purple",Ipomoea batatas,"Kamote, murado",77%,125,0.6,0.4,29.8
B010,"Sweet potato, purple, boiled",Ipomoea batatas,"Kamote, murado, nilaga",90%,122,0.6,0.2,29.5
B011,"Sweet potato, white",Ipomoea batatas,"Kamote, puti",89%,105,0.7,0.5,24.3
B012,"Sweet potato, white, boiled",Ipomoea batatas,"Kamote, puti, nilaga",86%,126,0.4,0.8,29.3
B013,"Sweet potato, yellow",Ipomoea batatas,"Kamote, dilaw",88%,135,1.1,0.4,31.8
B014,"Sweet potato, yellow, boiled",Ipomoea batatas,"Kamote, dilaw, nilaga",86%,128,0.5,0.3,30.7
B015,Taro,Colocasia esculenta,Gabi,77%,141,2.3,0.2,32.6
B016,"Taro, boiled",Colocasia esculenta,"Gabi, nilaga",69%,105,1.5,0.1,24.4
B017,White spot arum,Amorphophallus paeoniifolius,Pongapong,91%,61,3.1,0.2,11.7
B018,"Yam, Luzon",Dioscorea luzonensis,Pakit/Kamangeg,77%,99,2.5,0.1,22.1
B019,"Yam, nami",Dioscorea hispida,Nami/Asiatic bitter yam,86%,105,2.3,0.3,23.3
B020,"Yam, purple",Dioscorea alata,Ubi/Ube,83%,97,1.7,0.2,22.2
B021,"Yam, purple, boiled",Dioscorea alata,"Ubi/Ube, nilaga",74%,77,0.7,0.1,18.2
B022,"Yam, spiny",Dioscorea esculenta,Tugi/Lesser yam,82%,141,1.0,2.7,28.2
B023,"Yam, spiny, boiled",Dioscorea esculenta,"Tugi/Lesser yam, nilaga",97%,69,0.4,1.2,14.1
B024,Yautia,Xanthosoma sagittifolium,Gabing Cebu,95%,122,0.8,0.1,29.4
B025,Arrowroot starch,N/A,Uraro starch,100%,351,0.1,0.5,86.4
B026,"Cassava cake, bibingka",N/A,"Kamoteng kahoy, bibingka",100%,181,0.4,0.3,44.1
B027,Cassava flour,N/A,"Kamoteng kahoy, arina",100%,362,1.1,0.7,87.8
B028,Cassava fritter,N/A,"Kamoteng kahoy, maruya",100%,360,0.7,10.0,66.7
B029,Cassava pudding,N/A,"Kamoteng kahoy, budin",100%,203,1.2,0.5,48.4
B030,"Cassava, mashed, w/ sugar & marg",N/A,"Kamoteng kahoy, linupak",100%,183,0.4,1.3,42.4
B031,"Cassava, suman",N/A,"Kamoteng kahoy, suman",100%,210,0.5,1.4,48.9
B032,East Indian arrowroot starch,N/A,Yabyaban starch,100%,348,0.1,0.5,85.8
B033,"Potato chips, cheese flvr",N/A,N/A,100%,556,6.2,36.0,51.8
B034,"Potato, French-fried",N/A,French fries,100%,328,3.7,16.8,40.5
B035,Tapioca starch ball,N/A,Sago/Tapioca pearl,100%,341,0.4,1.1,82.4
B036,"Tapioca starch ball, boiled",N/A,"Sago, nilaga/Tapioca pearl, boiled",100%,83,0.0,0.2,20.3
B037,"Sweet potato, w/ sugar, fried",N/A,Kamote cue,100%,239,1.1,6.9,43.1
B038,"Yam, nami, brined",N/A,"Nami, inasnan",100%,66,1.0,0.2,15.0
B039,"Yam, nami, dried",N/A,"Nami, tuyo",100%,351,6.6,0.4,80.3
B040,"Yam, purple, pudding",N/A,"Ubi, maja",100%,187,1.2,0.8,43.8
B041,"Yam, purple, pudding,w/ grtd coconut topping",N/A,"Ubi, maja, may niyog",100%,191,1.7,1.2,43.4
B042,"Yacon tuber, raw",Smallanthus sonchifolius,Peruvian ground apple,87%,35,0.4,0.1,8.1
B043,"Sweet potato, orange",Ipomoea batatas,-,80%,121,1.1,0.3,28.4
C002,"Cashew nut, roasted",Anacardium occidentale,"Kasuy, binusa",85%,603,19.2,47.4,24.8
C003,"Chestnut, roasted",Castanea,"Kastanyas, binusa",75%,256,5.0,1.2,56.4
C004,"Chickpea, dried",Cicer arietinum,"Garbansos/Garbanzo, tuyo",100%,377,19.2,6.2,61.2
C005,"Chickpea, dried, boiled",Cicer arietinum,"Garbansos/Garbanzo, tuyo, nilaga",86%,198,5.7,2.0,39.2
C006,"Coconut meat, mature",Cocos nucifera,"Niyog, magulang",56%,319,3.9,26.1,17.2
C007,"Coconut meat, very young",Cocos nucifera,"Buko, malauhog",8%,42,0.8,1.3,6.8
C008,"Coconut meat, young",Cocos nucifera,"Buko, malakanin",14%,102,1.4,5.3,12.1
C009,Coconut sport,Cocos nucifera,Makapuno,74%,226,2.4,17.6,14.5
C010,"Cowpea seed, dried",Vigna unguiculata,"Paayap buto, tuyo",100%,358,20.4,1.5,65.8
C011,"Davao wonder bean seed, dried",-,"Mecan pea buto, tuyo",100%,351,23.4,2.7,58.3
C014,"Coastal jack-bean seed, dried",Canavalia rosea,"Pataning-dagat buto, tuyo",82%,364,24.1,2.8,60.7
C015,"Coastal jack-bean seed, dried, boiled",Canavalia rosea,"Pataning-dagat buto, tuyo, nilaga",78%,170,9.6,1.1,30.3
C016,"Java olive seed, dried",Sterculia foetida L.,"Kalumpang buto, tuyo",-,603,15.4,45.0,34.1
C017,"Kaatoan bangkal seed, dried",Neolamarckia cadamba,N/A,100%,339,14.4,0.4,69.5
C018,"Kidney bean seed, black, dried",Phaseolus vulgaris,"Abitsuwelas buto, itim, tuyo",100%,374,20.2,1.9,69.1
C019,"Kidney bean seed, black, dried, boiled",Phaseolus vulgaris,"Abitsuwelas buto, itim, tuyo, nilaga",100%,117,3.9,0.6,24.1
C020,"Kidney bean seed, red, dried",Phaseolus vulgaris,"Abitsuwelas buto, pula, tuyo",100%,348,19.3,1.5,64.2
C021,"Kidney bean seed, red, dried, boiled",Phaseolus vulgaris,"Abitsuwelas buto, pula, tuyo, nilaga",100%,138,7.9,0.9,24.6
C022,"Kidney bean seed, white, dried",Phaseolus vulgaris,"Abitsuwelas buto, puti, tuyo",100%,354,18.8,1.1,67.1
C023,"Kidney bean seed, white, dried, boiled",Phaseolus vulgaris,"Abitsuwelas buto, puti, tuyo, nilaga",100%,142,6.5,0.7,27.3
C024,"Lima bean seed, dried",Phaseolus lunatus,"Patani buto, tuyo",100%,348,19.8,1.0,64.9
C025,"Marang seed, dried",Artocarpus odoratissimus,"Johey oak, seed",78%,305,7.4,12.5,40.7
C026,"Marang seed, dried, boiled",Artocarpus odoratissimus,"Johey oak, seed, boiled",70%,238,5.7,7.6,36.6
C027,"Mung bean seed, green, dried",Vigna radiata var radiata,"Munggo buto, berde, tuyo",100%,348,23.2,1.6,60.1
C028,"Mung bean seed, green, dried, boiled",Vigna radiata var radiata,"Munggo buto, berde, tuyo, nilaga",100%,155,11.0,0.3,27.1
C029,"Mung bean seed, red, dried",Vigna radiata var radiata,"Munggo buto, pula, tuyo",100%,347,22.2,1.0,62.2
C030,"Mung bean seed, red, dried, boiled",Vigna radiata var radiata,"Munggo buto, pula, tuyo, nilaga",100%,150,6.9,0.7,28.9
C031,"Mung bean seed, yellow, dried",Vigna radiata var radiata,"Munggo buto, dilaw, tuyo",100%,365,23.5,1.4,64.5
C032,"Mung bean seed, yellow, dried, boiled",Vigna radiata var radiata,"Munggo buto, dilaw, tuyo, nilaga",100%,116,7.2,0.3,21.1
C033,"Negro coffee seed, dried",Senna occidentalis,"Balatong aso buto, tuyo/Coffee senna seed, dried",100%,373,17.5,2.6,69.8
C034,Peanut w/ shell,Arachis hypogaea,"Mani, may balat",67%,401,17.4,26.6,22.9
C035,"Peanut w/ shell, boiled",Arachis hypogaea,"Mani, may balat, nilaga",48%,315,13.0,22.4,15.3
C036,"Peanut w/ skin, roasted",Arachis hypogaea,"Mani, may balok, binusa",100%,621,32.1,50.7,9.1
C037,Peanut w/o skin,Arachis hypogaea,"Mani, walang balok",100%,617,25.8,49.5,17.1
C038,"Peanut w/o skin, roasted",Arachis hypogaea,"Mani, walang balok, binusa",100%,629,33.2,51.8,7.6
C039,"Pigeon pea seed, dried",Cajanus cajan,"Kadyos buto, tuyo",100%,348,21.2,1.2,63.2
C040,"Pigeon pea seed, dried, boiled",Cajanus cajan,"Kadyos buto, tuyo, nilaga",100%,125,5.7,0.6,24.3
C041,Pili nut,Canarium ovatum,Pili bunga,16%,699,14.2,68.5,6.4
C042,"Rice bean seed, dried",Vigna umbellata,"Tapilan buto, tuyo",100%,356,18.4,3.1,63.7
C043,"Sesame seed, dried",Sesamum indicum,"Linga, tuyo",100%,642,25.1,53.5,15.1
C044,"Soybean seed, dried",Glycine max,"Utaw buto, tuyo",100%,442,35.8,17.2,35.9
C045,"Soybean seed, black, dried",Glycine max,"Utaw buto, itim, tuyo",100%,451,36.6,19.8,31.6
C046,"Soybean seed, black, dried, boiled",Glycine max,"Utaw buto, itim, tuyo, nilaga",100%,241,15.3,6.1,31.2
